Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Which of the following positions most closely reflects your job role? Please select all that apply.,,,,,,Which of the following best describes your work environment? Please select all that apply. (i.e. If you are in a combined setting you may select multiple levels.),,,,,,,"Which of the following best describes the school(s) you work in, administer, or oversee? Please select all that apply.",,,,,"Below is a list of organizations and associations that provide programs, standards, and guidelines. Please select the ones which are useful to you in your work.",,,,,,,,,,,,,,,,,,,What does school library staffing look like in your place of work or the school(s) you support? Please select all that apply.,,,,,,How often do you collaborate and work with the school librarian(s)?,What are the main reasons you do not work with or collaborate more often with the school librarian?,Who usually initiates collaborations between yourself and the school librarian?,,"In your opinion, what are the school librarian’s most important contributions to the education program of the school?","Which, if any, of the following leadership opportunities in your organization are school librarians involved? Please select all that apply.",,,,,,,,,,"Here is an image of the National School Library Standards for Learners, School Librarians, and School Libraries [book] produced by the American Association of School Librarians (AASL)? Please indicate whether you have seen this document before today or have a copy of this document. Please select all that apply. Standards Book Cover",,,,,,Here is an image of the AASL Standards Framework for Learners [pamphlet] produced by the American Association of School Librarians (AASL)? Please indicate whether you have seen this document before today or have a copy of this document. Please select all that apply. Learner Pamphlet Cover,,,,,,"Did your school or district provide school library personnel with a copy of the National School Library Standards for Learners, School Librarians, and School Libraries book?",,"How familiar are you with the content of the National School Library Standards for Learners, School Librarians, and School Libraries?","Overall, how would you rate the AASL National School Library Standards?",For what reason did you give that rating? Please explain your thinking.,"Below is a list of words and phrases. Please indicate how well you think each word or phrase describes the National School Library Standards for Learners, School Librarians, and School Libraries.",,,,,,,,,,"Please state how much you agree or disagree with each of the following statements about AASL’s National School Library Standards for Learners, School Librarians, and School Libraries.",,,Please state how much you agree or disagree with each of the following Common Beliefs of the school library profession.,,,,,,"Does the school librarian use the National School Library Standards for Learners, School Librarians, and School Libraries in their work?","In which of the following ways have you worked with the school librarian to implement the National School Library Standards for Learners, School Librarians, and School Libraries? Please select all that apply.",,,,,,,,,,,,,,,,How helpful do you find the National School Library Standards for school librarian performance evaluations in your school or district in each of the following areas?,,,,,,,How have you supported professional development opportunities on the National School Library Standards for school librarians in your school or district? Please select all that apply.,,,,,,,,,,,,What are some things that could be done to better aid your collaboration with your school librarian to implement the National School Library Standards?,How frequently do you use or refer to the National School Library Standards when working with your school librarian?,How often do you reference each of the following AASL Standards Frameworks when collaborating with your school librarian?,,,How often do you consider each of the AASL Standards Shared Foundations when collaborating with your school librarian?,,,,,,How often do you consider each of the AASL Standards Domains when collaborating with your school librarian?,,,,"Overall, how would you rate AASL’s efforts to set and maintain up-to-date and practical standards and supporting resources?",For what reason did you give that rating? Please explain your thinking.,What additional supports would have been helpful to you when you first encountered the National School Library Standards?,What is your age group?,What is the last grade of school you completed?,How many years have you been an educator?,How many years have you been in your current role?,"In what state or U.S. territory do you work? If you are not currently working, pick the state or territory in which you live. If you live/work outside of the United States, please select “Outside of the United States” at the end of the list.",In what country do you work?,"Are you using an English version of the AASL standards, or one that has been translated from English into another language? Please select all that apply.",,,What is the primary language spoken in your work environment?,,"Are you of Hispanic or Latino background – such as Mexican, Puerto Rican, Cuban, or another Latin American background?",Which of the following categories best describes your race or ethnicity?,,Which of the following categories best describes your employment status?,,Is there anything else you would like to add?
,,,,,,,,,None of the above,Building Level Administrator,District Level Technology (e.g. tech coordinator/ supervisor),District Level Administrator,Superintendent,School Board Member,Elementary school,Middle school or junior high school,High school,Multiple buildings,School District office,"Local, state, or federal government office",Other (please specify),Public school,Private school,Charter school,Magnet school,Other (please specify),None of the above,American Association of School Librarians (AASL),American Library Association (ALA),Association for Supervision and Curriculum Development (ASCD),Common Core State Standards Initiative (CCSS),Consortium for School Networking (CoSN),Council for the Accreditation of Educator Preparation (CAEP- formerly NCATE),Future Ready Schools,International Society for Technology in Education (ISTE),National Board for Professional Teaching Standards (NBPTS),National Council for the Social Studies (NCSS),National Council of Teachers of English (NCTE),National Council of Teachers of Mathematics (NCTM),Next Generation Science Standards (NGSS),National Association for Elementary School Principals (NAESP),National Association for Secondary School Principals (NASSP),National School Boards Association (NSBA),The School Superintendents Association (AASA),Other (please specify),None of the above,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,Teacher on special assignment,Volunteer,Not sure,Response,Open-Ended Response,Response,Other (please specify),Open-Ended Response,None of the above,Building level leadership,Making school improvement,District level leadership,District improvement,District level strategic planning,Technology committee,Professional learning,Curriculum committees,Other (please specify),"No, I have not seen this document.","Yes, I have a copy that I purchased myself.","Yes, I have a copy that I received from my workplace.","Yes, I have a copy that was given to me by a librarian.","Yes, I have seen this document but do not have a copy.",Other (please specify),"No, I have not seen this document.","Yes, I have a copy that I purchased myself.","Yes, I have a copy that I received from my workplace.","Yes, I have a copy that was given to me by a librarian.","Yes, I have seen this document but do not have a copy.",Other (please specify),Response,Other (please specify),Response,Response,Open-Ended Response,Valuable,Relevant,Practical,Useful,Easy to use,Easy to understand,Well-written,Nicely designed,Well-organized,ADA Accessible,The AASL Standards use words and terms that mirror other standards I use.,The AASL Standards are easy to crosswalk with other standards I use.,The AASL Standards are aligned with my educational outlook and direction.,The school library is a unique and essential part of a learning community.,Qualified school librarians lead effective school libraries.,"Learners should be prepared for college, career, and life.",Reading is the core of personal and academic competency.,Intellectual freedom is every learner’s right.,Information technologies must be appropriately integrated and equitably available.,Response,None of the above,Lesson preparation and learner assessment,Evaluating school librarians or school libraries via these standards,Planning and delivering professional learning opportunities for other educators,Encouraging collaboration with teacher colleagues,Engaging with other educators across content areas,"Engaging with external stakeholders (local libraries, organizations, or businesses)",Engaging with parents or guardians,Demonstrating learner success to others,Guiding instructional priorities,Developing curriculum,Advocating on behalf of the school library,Advocating on behalf of the learners,Increasing the understanding of the role of the school librarian,Supporting the school’s mission and vision statements,Other (please specify),Evaluate direct instruction with students,Evaluate lesson development,Evaluate collaboration with other educators,Evaluate collection development efforts,Evaluate leadership activities,Evaluate advocacy activities,Goal setting and long-range planning,None of the above,"Membership in professional associations at the local, state, or national level","Attendance at conferences at the local, state, or national level","Attendance at workshops at the local, state, or national level",Attendance at webinars and online learning events,School district training offered by a library or educational organization,School district training offered by district library leaders,"Facilitate trainings for others at district, local, state, or national level",Self-directed training encouraged during staff development time,Self-directed training expected without specific time allotted,Purchases of professional publications,Other (please specify),Open-Ended Response,Response,for Learners,for School Librarians,for School Libraries,"Inquire Build new knowledge by inquiring, thinking critically, identifying problems, and developing strategies for solving problems",Include Demonstrate an understanding and commitment to inclusiveness and respect for diversity in the learning community,Collaborate Work effectively with others to broaden perspectives and work toward common goals,"Curate Make meaning for oneself and others by collecting, organizing, and sharing resources of personal relevance",Explore Discover and innovate in a growth mindset developed through experience and reflection,"Engage Demonstrate safe, legal, and ethical creating and sharing of knowledge products independently while engaging in a community of practice and in an interconnected world","Think Inquire, think critically, and gain knowledge","Create Draw conclusions, make informed decisions, apply knowledge to new situations, and create new knowledge",Share Share knowledge and participate ethically and productively as members of our democratic society,Grow Pursue personal and aesthetic growth,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Not using AASL Standards,English language version,Another language (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Open-Ended Response
114468738118,428602768,2023-11-20 20:38:23,2023-11-20 20:44:20,,,,,,,,,District Level Administrator,,,,,,,School District office,,,Public school,,,,,,American Association of School Librarians (AASL),American Library Association (ALA),Association for Supervision and Curriculum Development (ASCD),,,,Future Ready Schools,International Society for Technology in Education (ISTE),,,National Council of Teachers of English (NCTE),,,,National Association for Secondary School Principals (NASSP),,,,,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,,,,On a daily basis,,"It varies; sometimes me, sometimes someone else",,"leader on the campus, collaborator with teachers, professional learning support, literacy support for students and teachers, technology integrator",,Building level leadership,,,,District level strategic planning,Technology committee,Professional learning,,,,"Yes, I have a copy that I purchased myself.",,"Yes, I have a copy that was given to me by a librarian.",,,,"Yes, I have a copy that I purchased myself.",,"Yes, I have a copy that was given to me by a librarian.",,,No,,Very familiar,Excellent,,Describes completely,Describes completely,Describes completely,Describes completely,Describes completely,Describes completely,Describes completely,Describes completely,Describes completely,4,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114466854292,428602768,2023-11-17 19:34:16,2023-11-17 19:41:20,,,,,,,,,District Level Administrator,,,,,,,School District office,,,Public school,,,,,,American Association of School Librarians (AASL),American Library Association (ALA),,,,,Future Ready Schools,International Society for Technology in Education (ISTE),,,,,,,,,,,,Certified / licensed school librarian,,,,,On a daily basis,,"It varies; sometimes me, sometimes someone else",,Elevating and adding value to classroom instruction,,Building level leadership,,,,,Technology committee,Professional learning,Curriculum committees,,,,"Yes, I have a copy that I received from my workplace.",,,,,,,,"Yes, I have seen this document but do not have a copy.",,No,,Somewhat familiar,Fair,They seem very traditional and not forward thinking,4,3,3,3,3,2,4,3,3,3,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114466343798,428602768,2023-11-17 07:59:11,2023-11-17 08:04:47,,,,,,,,,District Level Administrator,,,Elementary school,Middle school or junior high school,High school,,School District office,,,Public school,,,,,,American Association of School Librarians (AASL),,,Common Core State Standards Initiative (CCSS),,,Future Ready Schools,,,,,,,,,,,We are also implementing Computer Science standards gradually within the next 24 months. (Tennessee Stem Innovation Network),,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,,,,On a daily basis,,I do,,"Build community, promote literacy and support content area curriculum.",,Building level leadership,,District level leadership,,,Technology committee,Professional learning,,,,,,,"Yes, I have seen this document but do not have a copy.",,,,,,"Yes, I have seen this document but do not have a copy.",,No,,Somewhat familiar,Excellent,,Describes completely,Describes completely,Describes completely,Describes completely,2,2,Describes completely,Describes completely,2,2,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114466313956,428602768,2023-11-17 07:29:23,2023-11-17 08:01:35,,,,,,,,,District Level Administrator,,,,,,,School District office,,,Public school,,,,,,American Association of School Librarians (AASL),American Library Association (ALA),,,,,,International Society for Technology in Education (ISTE),,,,,,,,,,,,Certified / licensed school librarian,,,,,A couple times per year,"I stay in communication with the librarians as needed, but as a district level supervisor I am tasked with numerous other responsibilities that dominate my work days.",I do,,"The librarians provide a bridge to students and faculty to connect the classroom curriculum to personal interests, responsible use of resources, and access to current, accurate information.",,Building level leadership,Making school improvement,,,,Technology committee,Professional learning,,,,"Yes, I have a copy that I purchased myself.",,,,,,,,,"Yes, I have seen this document but do not have a copy.",,Other (please specify),"Several copies were purchased to circulate across the district, but indivdual copies were not purchased for each librarian.",Somewhat familiar,Good,,2,2,2,2,2,2,Describes completely,2,Describes completely,Describes completely,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114465843513,428602768,2023-11-16 17:01:05,2023-11-16 17:01:36,,,,,,,Building Level Administrator,,,,,,Middle school or junior high school,,,,,,Public school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114465627848,428602768,2023-11-16 12:54:04,2023-11-16 15:35:16,,,,,,,Building Level Administrator,,,,,,Middle school or junior high school,,,,,,Public school,,,,,,,,,,,,,,,,,,,,National Association for Secondary School Principals (NASSP),,,,,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,,,,On a daily basis,,"It varies; sometimes me, sometimes someone else",,Providing support and resources to students and teachers. ,,Building level leadership,,,District improvement,District level strategic planning,Technology committee,Professional learning,,,,,,,"Yes, I have seen this document but do not have a copy.",,,,,,"Yes, I have seen this document but do not have a copy.",,Not sure,,Somewhat familiar,Good,,3,3,3,3,3,3,3,3,3,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,,,,,,Engaging with other educators across content areas,,,,,,,,,,,,,,,,,,,,"Attendance at conferences at the local, state, or national level",,,,,,,,,,More days for her to work in the summer. This is a local contractual issue though. ,Rarely,,,,,,,,,,,,,,Good,,N/A,45-54,Post-graduate degree,30 or more years,10-14 years,Alabama,,,,,English,,No,White,,Employed full-time,,No
114464568598,428602768,2023-11-15 11:55:29,2023-11-15 12:06:54,,,,,,,Building Level Administrator,,,,,,Middle school or junior high school,,,,,,Public school,,,,,,American Association of School Librarians (AASL),American Library Association (ALA),,Common Core State Standards Initiative (CCSS),,,Future Ready Schools,International Society for Technology in Education (ISTE),,National Council for the Social Studies (NCSS),,National Council of Teachers of Mathematics (NCTM),Next Generation Science Standards (NGSS),,National Association for Secondary School Principals (NASSP),,,,,Certified / licensed school librarian,,,,,On a daily basis,,"It varies; sometimes me, sometimes someone else",,Lifting learning outside the walls of the classroom; enhancing lessons through collaborative planning with ALL content area teachers.,,Building level leadership,Making school improvement,District level leadership,,,Technology committee,Professional learning,Curriculum committees,,,,"Yes, I have a copy that I received from my workplace.",,,,,,,,"Yes, I have seen this document but do not have a copy.",,Not sure,,Very familiar,Excellent,,Describes completely,Describes completely,2,2,2,2,Describes completely,Describes completely,2,Describes completely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,Lesson preparation and learner assessment,,Planning and delivering professional learning opportunities for other educators,Encouraging collaboration with teacher colleagues,Engaging with other educators across content areas,,Engaging with parents or guardians,,,,Advocating on behalf of the school library,Advocating on behalf of the learners,Increasing the understanding of the role of the school librarian,Supporting the school’s mission and vision statements,,,,,,,,,,"Membership in professional associations at the local, state, or national level","Attendance at conferences at the local, state, or national level","Attendance at workshops at the local, state, or national level",Attendance at webinars and online learning events,School district training offered by a library or educational organization,School district training offered by district library leaders,"Facilitate trainings for others at district, local, state, or national level",Self-directed training encouraged during staff development time,Self-directed training expected without specific time allotted,Purchases of professional publications,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114464436377,428602768,2023-11-15 09:44:04,2023-11-15 09:59:57,,,,,,,,,District Level Administrator,,,,,,,School District office,,,Public school,,,,,,,,,,,,,,National Board for Professional Teaching Standards (NBPTS),,,,,,,,,,,Certified / licensed school librarian,,,,,A couple times per year,My role is to manage the affairs of all special education students and staff. Our paths just don’t cross as often as I’d like but I fully support our library program. ,Another Administrator,,The library is the literacy and technology center for the school. ,,,Making school improvement,District level leadership,District improvement,District level strategic planning,,Professional learning,,,,,,,"Yes, I have seen this document but do not have a copy.",,,,,,"Yes, I have seen this document but do not have a copy.",,Not sure,,Not too familiar,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,,,,,,,,,,,Advocating on behalf of the school library,,,,,,,,,,,,,,,"Attendance at workshops at the local, state, or national level",,School district training offered by a library or educational organization,School district training offered by district library leaders,,,,,,,Rarely,,,,,,,,,,,,,,Excellent,,,55-64,Post-graduate degree,25-29 years,5-9 years,Oklahoma,,,,,English,,No,White,,Employed full-time,,
114464423480,428602768,2023-11-15 09:31:41,2023-11-15 09:38:02,,,,,,,Building Level Administrator,,,,,,,High school,,,,,Public school,,,,,,,American Library Association (ALA),Association for Supervision and Curriculum Development (ASCD),,,Council for the Accreditation of Educator Preparation (CAEP- formerly NCATE),,International Society for Technology in Education (ISTE),,,,,,,National Association for Secondary School Principals (NASSP),,,,,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,,,,On a daily basis,,"It varies; sometimes me, sometimes someone else",,"Education, research, STEM, technology support",,,Making school improvement,,,,Technology committee,Professional learning,Curriculum committees,,,,,"Yes, I have a copy that was given to me by a librarian.",,,,,,"Yes, I have a copy that was given to me by a librarian.",,,Yes,,Somewhat familiar,Good,,3,3,3,3,3,3,3,3,3,3,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,Lesson preparation and learner assessment,Evaluating school librarians or school libraries via these standards,Planning and delivering professional learning opportunities for other educators,Encouraging collaboration with teacher colleagues,Engaging with other educators across content areas,"Engaging with external stakeholders (local libraries, organizations, or businesses)",Engaging with parents or guardians,,Guiding instructional priorities,,Advocating on behalf of the school library,Advocating on behalf of the learners,Increasing the understanding of the role of the school librarian,Supporting the school’s mission and vision statements,,,,,,,,,,"Membership in professional associations at the local, state, or national level","Attendance at conferences at the local, state, or national level","Attendance at workshops at the local, state, or national level",Attendance at webinars and online learning events,School district training offered by a library or educational organization,School district training offered by district library leaders,"Facilitate trainings for others at district, local, state, or national level",Self-directed training encouraged during staff development time,,Purchases of professional publications,,,Never,,,,,,,,,,,,,,Good,,,45-54,Post-graduate degree,20-24 years,5-9 years,Oklahoma,,,,,English,,No,White,,Employed full-time,,
